WTeam,LTeam,probability
Boston Celtics,Philadelphia 76ers,0.501053840594792
Golden State Warriors,Los Angeles Lakers,0.5124696634245185
Detroit Pistons,Orlando Magic,0.518473742278495
Indiana Pacers,Washington Wizards,0.5059571851877758
Atlanta Hawks,Houston Rockets,0.5178521625038549
Brooklyn Nets,New Orleans Pelicans,0.5235596291797974
New York Knicks,Memphis Grizzlies,0.5003585076344467
Miami Heat,Chicago Bulls,0.5105774077775171
Cleveland Cavaliers,Toronto Raptors,0.5134772648365058
Minnesota Timberwolves,Oklahoma City Thunder,0.5208480368477075
San Antonio Spurs,Charlotte Hornets,0.5027028727623671
Utah Jazz,Denver Nuggets,0.521981120384196
Dallas Mavericks,Phoenix Suns,0.5033302202160377
Portland Trail Blazers,Sacramento Kings,0.5031184500978694
Philadelphia 76ers,Milwaukee Bucks,0.532868420191032
Los Angeles Lakers,Los Angeles Clippers,0.5240704884198508
Charlotte Hornets,New Orleans Pelicans,0.5220727192173612
Indiana Pacers,San Antonio Spurs,0.5090015039489479
Chicago Bulls,Washington Wizards,0.5119762829216266
Atlanta Hawks,Orlando Magic,0.5197410892628582
Brooklyn Nets,Toronto Raptors,0.5339367415460985
Miami Heat,Boston Celtics,0.525624726241033
New York Knicks,Detroit Pistons,0.5274812301929583
Houston Rockets,Memphis Grizzlies,0.5122745116058537
Minnesota Timberwolves,Utah Jazz,0.5025937512862917
Golden State Warriors,Denver Nuggets,0.520612710994878
Portland Trail Blazers,Phoenix Suns,0.5195475881574062
Philadelphia 76ers,San Antonio Spurs,0.5445484404583126
Indiana Pacers,Detroit Pistons,0.5033653141343816
Orlando Magic,Boston Celtics,0.5005172185544269
Chicago Bulls,Cleveland Cavaliers,0.5291533025336485
Miami Heat,Toronto Raptors,0.5467324681007485
Milwaukee Bucks,Houston Rockets,0.523760824560221
Dallas Mavericks,Memphis Grizzlies,0.5355754125636569
Denver Nuggets,Oklahoma City Thunder,0.5261025136583418
Los Angeles Clippers,Sacramento Kings,0.5017549326347328
Los Angeles Lakers,Portland Trail Blazers,0.5227099225799038
Atlanta Hawks,Charlotte Hornets,0.510598134760284
Cleveland Cavaliers,Washington Wizards,0.5293410886508502
Utah Jazz,New Orleans Pelicans,0.5003363476678861
Oklahoma City Thunder,Minnesota Timberwolves,0.5049982361845784
Golden State Warriors,Sacramento Kings,0.5343994284334733
Los Angeles Clippers,Phoenix Suns,0.5179467008003165
Philadelphia 76ers,Indiana Pacers,0.5476763612376727
Miami Heat,Toronto Raptors,0.5467324681007485
New York Knicks,Orlando Magic,0.5322442073940534
Chicago Bulls,Boston Celtics,0.5327004872771749
Houston Rockets,Utah Jazz,0.5000831428879611
Memphis Grizzlies,Brooklyn Nets,0.5057457376324982
Minnesota Timberwolves,San Antonio Spurs,0.5184454503294803
Portland Trail Blazers,Denver Nuggets,0.5157810308942193
Washington Wizards,Detroit Pistons,0.5106529134894512
Dallas Mavericks,New Orleans Pelicans,0.5070921098477594
Oklahoma City Thunder,Los Angeles Clippers,0.5006670226098349
Phoenix Suns,Golden State Warriors,0.504591852571936
Cleveland Cavaliers,Orlando Magic,0.5315209433423843
Detroit Pistons,Atlanta Hawks,0.512619902691922
Milwaukee Bucks,Brooklyn Nets,0.5152466439899499
New York Knicks,Charlotte Hornets,0.5231208826318936
Philadelphia 76ers,Toronto Raptors,0.5238790340381335
Chicago Bulls,Indiana Pacers,0.5489467363800202
Minnesota Timberwolves,San Antonio Spurs,0.5184454503294803
Utah Jazz,Houston Rockets,0.5285786142727279
Denver Nuggets,Los Angeles Lakers,0.5062043414821592
Portland Trail Blazers,Miami Heat,0.5029181009481578
Brooklyn Nets,Dallas Mavericks,0.5033525927257293
Oklahoma City Thunder,Los Angeles Clippers,0.5006670226098349
Golden State Warriors,Miami Heat,0.5077556380580839
Sacramento Kings,Memphis Grizzlies,0.5037942000601805
Detroit Pistons,Atlanta Hawks,0.512619902691922
Orlando Magic,Charlotte Hornets,0.503710471200378
Boston Celtics,Cleveland Cavaliers,0.5114685137036753
Philadelphia 76ers,Toronto Raptors,0.5238790340381335
Washington Wizards,Indiana Pacers,0.5194366022458177
Milwaukee Bucks,New York Knicks,0.5091458537820216
Minnesota Timberwolves,Los Angeles Lakers,0.5009385247187289
Chicago Bulls,San Antonio Spurs,0.5155536117785913
Denver Nuggets,Utah Jazz,0.5078592613184127
Phoenix Suns,New Orleans Pelicans,0.5168877497404109
Portland Trail Blazers,Houston Rockets,0.5223857981643937
Miami Heat,Sacramento Kings,0.514766505349086
Charlotte Hornets,Golden State Warriors,0.5097836314300207
Brooklyn Nets,Indiana Pacers,0.5290908031847152
Chicago Bulls,Philadelphia 76ers,0.5187609119267488
Milwaukee Bucks,Atlanta Hawks,0.5198004054422202
Dallas Mavericks,Oklahoma City Thunder,0.5416116792997103
Utah Jazz,Memphis Grizzlies,0.5276639510851207
Los Angeles Clippers,New Orleans Pelicans,0.5211418239829535
Boston Celtics,Washington Wizards,0.5251670546476623
Cleveland Cavaliers,New York Knicks,0.5150348034552416
Detroit Pistons,Golden State Warriors,0.5046450315043322
San Antonio Spurs,Minnesota Timberwolves,0.5078268926375237
Dallas Mavericks,Orlando Magic,0.5383692133509329
Phoenix Suns,Houston Rockets,0.5165313419876947
Los Angeles Lakers,Denver Nuggets,0.5239231079256443
Charlotte Hornets,Sacramento Kings,0.5289129343659484
Philadelphia 76ers,Washington Wizards,0.5108861500178303
Brooklyn Nets,Indiana Pacers,0.5290908031847152
Atlanta Hawks,Toronto Raptors,0.5034342700523955
Milwaukee Bucks,Detroit Pistons,0.5208781256439978
Utah Jazz,Memphis Grizzlies,0.5276639510851207
Los Angeles Clippers,Houston Rockets,0.5207856449705306
Chicago Bulls,Brooklyn Nets,0.5023012642419007
Miami Heat,Golden State Warriors,0.524136386406218
Oklahoma City Thunder,Orlando Magic,0.509024423859842
Phoenix Suns,Minnesota Timberwolves,0.5143979890445715
Philadelphia 76ers,Washington Wizards,0.541526000367405
Cleveland Cavaliers,Boston Celtics,0.5192083881232061
Miami Heat,Sacramento Kings,0.5432074704856517
New York Knicks,Atlanta Hawks,0.5264048582614398
Chicago Bulls,Charlotte Hornets,0.5358787783414558
Houston Rockets,Los Angeles Clippers,0.5067273595349406
Milwaukee Bucks,Detroit Pistons,0.5208781256439978
San Antonio Spurs,Toronto Raptors,0.5207197758833342
Dallas Mavericks,Utah Jazz,0.5234246325123428
Portland Trail Blazers,Memphis Grizzlies,0.5214699972904292
Los Angeles Lakers,New Orleans Pelicans,0.5308733675649822
Golden State Warriors,Orlando Magic,0.5009748155044275
Oklahoma City Thunder,Denver Nuggets,0.5005193020657108
Detroit Pistons,Cleveland Cavaliers,0.5025763545880954
Miami Heat,Indiana Pacers,0.5132257260387838
Philadelphia 76ers,New York Knicks,0.5272593180659612
Washington Wizards,Brooklyn Nets,0.5050154572877265
Chicago Bulls,Boston Celtics,0.5000368612820941
Memphis Grizzlies,Charlotte Hornets,0.5070128617139518
San Antonio Spurs,Los Angeles Clippers,0.5034960953781122
Dallas Mavericks,Toronto Raptors,0.5471811214744617
New Orleans Pelicans,Golden State Warriors,0.5008296648411504
Minnesota Timberwolves,Milwaukee Bucks,0.5067024277671196
Phoenix Suns,Portland Trail Blazers,0.5087061602677235
Los Angeles Lakers,Utah Jazz,0.5174374119615865
Orlando Magic,Sacramento Kings,0.5181775140407209
Charlotte Hornets,Brooklyn Nets,0.5131998375640762
Atlanta Hawks,New Orleans Pelicans,0.51820850476976
New York Knicks,Boston Celtics,0.5199334923422584
Milwaukee Bucks,Oklahoma City Thunder,0.5289014378350394
Minnesota Timberwolves,Houston Rockets,0.515700012915833
Denver Nuggets,San Antonio Spurs,0.5237021807256237
Phoenix Suns,Portland Trail Blazers,0.5087061602677235
Los Angeles Lakers,Cleveland Cavaliers,0.5165356797327325
Memphis Grizzlies,Washington Wizards,0.5139733535192479
Chicago Bulls,Toronto Raptors,0.5249671346791192
Los Angeles Clippers,Utah Jazz,0.5076856244444206
Charlotte Hornets,Washington Wizards,0.5214207881360251
Orlando Magic,Houston Rockets,0.51096881110469
Detroit Pistons,Oklahoma City Thunder,0.5217318086557313
Indiana Pacers,New Orleans Pelicans,0.5066102486938993
Philadelphia 76ers,Phoenix Suns,0.5389956623619299
Atlanta Hawks,Milwaukee Bucks,0.508856481294821
Miami Heat,Portland Trail Blazers,0.5282401328391448
Chicago Bulls,Toronto Raptors,0.5537606783439633
Memphis Grizzlies,Boston Celtics,0.5038199267287411
Minnesota Timberwolves,New York Knicks,0.5010733129569369
San Antonio Spurs,Denver Nuggets,0.5033483815463452
Dallas Mavericks,Brooklyn Nets,0.5279965177370692
Golden State Warriors,Sacramento Kings,0.5343994284334733
Utah Jazz,Los Angeles Lakers,0.5138396110401398
Los Angeles Clippers,Cleveland Cavaliers,0.506783039247885
Dallas Mavericks,Orlando Magic,0.5088961289617568
Charlotte Hornets,Portland Trail Blazers,0.5138963593171673
Denver Nuggets,Indiana Pacers,0.500360671748927
Atlanta Hawks,Utah Jazz,0.5047482102535886
Boston Celtics,Detroit Pistons,0.5225808679832975
Brooklyn Nets,New York Knicks,0.5085875762815066
Toronto Raptors,Houston Rockets,0.5005336453017594
Chicago Bulls,New Orleans Pelicans,0.5434475371763944
Minnesota Timberwolves,Phoenix Suns,0.5128591223528022
Milwaukee Bucks,Oklahoma City Thunder,0.5018685362252763
San Antonio Spurs,Memphis Grizzlies,0.5090443784440826
Los Angeles Clippers,Los Angeles Lakers,0.5060306886388293
Cleveland Cavaliers,Sacramento Kings,0.5093012637762284
Dallas Mavericks,Washington Wizards,0.5063243133107742
Philadelphia 76ers,Atlanta Hawks,0.5065707265519741
Miami Heat,Charlotte Hornets,0.5288085741403236
New Orleans Pelicans,Portland Trail Blazers,0.5049445630357416
Boston Celtics,Denver Nuggets,0.5188612477985254
Orlando Magic,Phoenix Suns,0.5081266382778497
New York Knicks,Detroit Pistons,0.5274812301929583
Oklahoma City Thunder,Toronto Raptors,0.5178948725935831
San Antonio Spurs,Milwaukee Bucks,0.5009605832441772
Memphis Grizzlies,Minnesota Timberwolves,0.5121355707542167
Golden State Warriors,Cleveland Cavaliers,0.5132216409179253
Los Angeles Lakers,Sacramento Kings,0.5376991619408198
Los Angeles Clippers,Brooklyn Nets,0.5122678055413503
Washington Wizards,Utah Jazz,0.5004315870907878
Detroit Pistons,Boston Celtics,0.5061368924264035
Indiana Pacers,Toronto Raptors,0.5170159712407199
Philadelphia 76ers,Atlanta Hawks,0.5378775572259444
Miami Heat,Charlotte Hornets,0.5288085741403236
Dallas Mavericks,Portland Trail Blazers,0.5286913113298854
New Orleans Pelicans,Houston Rockets,0.512772274409202
New York Knicks,Oklahoma City Thunder,0.5354925757175912
Cleveland Cavaliers,Minnesota Timberwolves,0.5275079957064276
Washington Wizards,Memphis Grizzlies,0.5126227399097164
Philadelphia 76ers,Utah Jazz,0.5287750028254549
Chicago Bulls,Denver Nuggets,0.5365209270634488
Golden State Warriors,Sacramento Kings,0.5072330445494201
Los Angeles Lakers,Brooklyn Nets,0.5220142833070185
Detroit Pistons,Toronto Raptors,0.5273319975035259
Orlando Magic,Charlotte Hornets,0.503710471200378
Boston Celtics,Oklahoma City Thunder,0.5306013620852128
Miami Heat,Phoenix Suns,0.5332083723594815
Houston Rockets,Los Angeles Clippers,0.5067273595349406
Milwaukee Bucks,Atlanta Hawks,0.5198004054422202
Golden State Warriors,San Antonio Spurs,0.5299516451614593
New Orleans Pelicans,Memphis Grizzlies,0.5118552652699239
Dallas Mavericks,Los Angeles Clippers,0.5300501561579167
Utah Jazz,New York Knicks,0.5139742955494929
Portland Trail Blazers,San Antonio Spurs,0.5251282349434372
Brooklyn Nets,Sacramento Kings,0.5038154501032549
Charlotte Hornets,Indiana Pacers,0.5276055801716258
Orlando Magic,Minnesota Timberwolves,0.508834252805958
Washington Wizards,Oklahoma City Thunder,0.5186892327948149
Atlanta Hawks,Boston Celtics,0.5074058601407775
Miami Heat,Toronto Raptors,0.5189399273384709
Milwaukee Bucks,Cleveland Cavaliers,0.5097633183622773
Chicago Bulls,New Orleans Pelicans,0.5127437484174519
Dallas Mavericks,Houston Rockets,0.5364882131464848
Denver Nuggets,New York Knicks,0.5063391090585051
Phoenix Suns,Golden State Warriors,0.504591852571936
Portland Trail Blazers,Brooklyn Nets,0.5138698514026558
Sacramento Kings,San Antonio Spurs,0.5074599342354232
Los Angeles Clippers,Detroit Pistons,0.5179015135432575
Miami Heat,Washington Wizards,0.5059393716454844
Cleveland Cavaliers,Charlotte Hornets,0.5223961703633958
Philadelphia 76ers,Milwaukee Bucks,0.532868420191032
Chicago Bulls,Orlando Magic,0.544970333418483
Houston Rockets,Indiana Pacers,0.5190886751107103
Memphis Grizzlies,Oklahoma City Thunder,0.5194185370802529
Dallas Mavericks,Denver Nuggets,0.5299029663699659
New Orleans Pelicans,Boston Celtics,0.5023216843950006
Utah Jazz,Phoenix Suns,0.5257437948637829
Golden State Warriors,New York Knicks,0.512604367465626
Los Angeles Lakers,Detroit Pistons,0.5276392210399314
Atlanta Hawks,Toronto Raptors,0.5285972278326161
Indiana Pacers,Orlando Magic,0.5081447094211904
Philadelphia 76ers,Minnesota Timberwolves,0.5396990970849482
Portland Trail Blazers,Utah Jazz,0.5092883036488824
Los Angeles Clippers,San Antonio Spurs,0.5235288893215253
Phoenix Suns,New York Knicks,0.5019054991779176
Sacramento Kings,Detroit Pistons,0.5018233680878385
Washington Wizards,Charlotte Hornets,0.5062826258971246
Brooklyn Nets,Memphis Grizzlies,0.5222879364248456
Cleveland Cavaliers,Miami Heat,0.51018714907978
Houston Rockets,Golden State Warriors,0.5012491536110693
Dallas Mavericks,Denver Nuggets,0.5299029663699659
Los Angeles Lakers,San Antonio Spurs,0.5332553693000109
Cleveland Cavaliers,Atlanta Hawks,0.5256806115664886
Indiana Pacers,Orlando Magic,0.5081447094211904
Chicago Bulls,Boston Celtics,0.5327004872771749
Milwaukee Bucks,Portland Trail Blazers,0.5159429994377529
Miami Heat,Minnesota Timberwolves,0.5037773918047457
New Orleans Pelicans,Golden State Warriors,0.5008296648411504
New York Knicks,Oklahoma City Thunder,0.5074974975691413
Los Angeles Clippers,Utah Jazz,0.5076856244444206
Philadelphia 76ers,Brooklyn Nets,0.5333413215611957
Memphis Grizzlies,Sacramento Kings,0.5214750912451245
Denver Nuggets,Detroit Pistons,0.5180749675918277
Phoenix Suns,Los Angeles Lakers,0.5017707122157604
Philadelphia 76ers,Charlotte Hornets,0.5027005645351855
Cleveland Cavaliers,Portland Trail Blazers,0.5218269883214324
Indiana Pacers,Minnesota Timberwolves,0.504118335484133
Atlanta Hawks,Sacramento Kings,0.5250537122418024
Boston Celtics,Dallas Mavericks,0.5056168258905622
Miami Heat,Washington Wizards,0.5357431149955527
Brooklyn Nets,Toronto Raptors,0.5079930364762885
Chicago Bulls,Milwaukee Bucks,0.5017428202553332
Oklahoma City Thunder,Denver Nuggets,0.5005193020657108
San Antonio Spurs,New Orleans Pelicans,0.5103182721530717
Utah Jazz,Detroit Pistons,0.5256986691962415
Golden State Warriors,Los Angeles Clippers,0.5207601788909163
Charlotte Hornets,Minnesota Timberwolves,0.5195848440199329
Philadelphia 76ers,Orlando Magic,0.5134570372049875
New York Knicks,Portland Trail Blazers,0.5225517749019151
Boston Celtics,Sacramento Kings,0.5326531188204888
Houston Rockets,Atlanta Hawks,0.5092255274809944
Brooklyn Nets,Indiana Pacers,0.5022735197127493
Memphis Grizzlies,New Orleans Pelicans,0.5146259859470592
Miami Heat,Washington Wizards,0.5357431149955527
Milwaukee Bucks,Cleveland Cavaliers,0.5097633183622773
Chicago Bulls,Oklahoma City Thunder,0.5183794759494195
Los Angeles Lakers,San Antonio Spurs,0.5048035712233252
Phoenix Suns,Detroit Pistons,0.513645517757779
Golden State Warriors,Utah Jazz,0.5141237400354995
Los Angeles Clippers,Denver Nuggets,0.5141793288210611
Dallas Mavericks,Toronto Raptors,0.5193243632074374
Houston Rockets,Oklahoma City Thunder,0.5183412663067066
Los Angeles Lakers,San Antonio Spurs,0.5048035712233252
Phoenix Suns,Utah Jazz,0.5034259147358954
Brooklyn Nets,Portland Trail Blazers,0.5153850944115803
Minnesota Timberwolves,Golden State Warriors,0.503759717011103
Los Angeles Clippers,Indiana Pacers,0.5266756912157347
Miami Heat,Atlanta Hawks,0.5016228795298484
Boston Celtics,Washington Wizards,0.5251670546476623
Detroit Pistons,Cleveland Cavaliers,0.5025763545880954
New York Knicks,Memphis Grizzlies,0.5294457372998816
Philadelphia 76ers,Orlando Magic,0.5134570372049875
Milwaukee Bucks,Dallas Mavericks,0.5039110163815825
Philadelphia 76ers,Atlanta Hawks,0.5378775572259444
Washington Wizards,Minnesota Timberwolves,0.5114056105898414
Boston Celtics,Charlotte Hornets,0.5182166028336839
Brooklyn Nets,Orlando Magic,0.5250907913878416
Cleveland Cavaliers,Toronto Raptors,0.5134772648365058
New Orleans Pelicans,Oklahoma City Thunder,0.5179223273744086
Denver Nuggets,Houston Rockets,0.5209590211571444
Utah Jazz,Chicago Bulls,0.5030881952098419
Sacramento Kings,Phoenix Suns,0.5018686128727854
Los Angeles Lakers,Indiana Pacers,0.5363948184992019
Detroit Pistons,New York Knicks,0.5019586818537989
Dallas Mavericks,Golden State Warriors,0.5245879573985576
Portland Trail Blazers,Los Angeles Clippers,0.5159286031128898
Cleveland Cavaliers,Philadelphia 76ers,0.50524014755543
Orlando Magic,Atlanta Hawks,0.5070021438551178
Boston Celtics,Miami Heat,0.5060017734872014
Brooklyn Nets,Washington Wizards,0.5229078728490729
New York Knicks,Milwaukee Bucks,0.5213820204059628
Minnesota Timberwolves,Memphis Grizzlies,0.5147832998905181
New Orleans Pelicans,Toronto Raptors,0.5235263856515918
Oklahoma City Thunder,San Antonio Spurs,0.5098811640262829
Denver Nuggets,Houston Rockets,0.5209590211571444
Chicago Bulls,Phoenix Suns,0.5089832261614573
Utah Jazz,Los Angeles Clippers,0.5221285537213577
Sacramento Kings,Indiana Pacers,0.5106136572391998
Los Angeles Lakers,Portland Trail Blazers,0.5227099225799038
Dallas Mavericks,Detroit Pistons,0.5032770390677975
Charlotte Hornets,Washington Wizards,0.5214207881360251
Atlanta Hawks,Denver Nuggets,0.5112433592302457
Boston Celtics,Miami Heat,0.5060017734872014
Brooklyn Nets,Toronto Raptors,0.5339367415460985
Cleveland Cavaliers,Orlando Magic,0.5315209433423843
Milwaukee Bucks,Los Angeles Lakers,0.5090111094347926
Philadelphia 76ers,Memphis Grizzlies,0.5101561084830347
San Antonio Spurs,New Orleans Pelicans,0.5103182721530717
Phoenix Suns,Houston Rockets,0.5165313419876947
Utah Jazz,Indiana Pacers,0.5344584999238393
Golden State Warriors,Chicago Bulls,0.5017173303464086
New York Knicks,Dallas Mavericks,0.5105282200281781
Los Angeles Clippers,Sacramento Kings,0.527983316552978
Charlotte Hornets,Milwaukee Bucks,0.5127251732332314
Minnesota Timberwolves,Oklahoma City Thunder,0.5208480368477075
Toronto Raptors,Orlando Magic,0.5024252288181041
Golden State Warriors,Houston Rockets,0.5272119847991118
Utah Jazz,Portland Trail Blazers,0.5207675129093209
New Orleans Pelicans,Denver Nuggets,0.5061602424436428
San Antonio Spurs,Phoenix Suns,0.5071192326071852
Brooklyn Nets,Boston Celtics,0.512764155720252
Detroit Pistons,Memphis Grizzlies,0.5156678559398836
New York Knicks,Cleveland Cavaliers,0.5163773790731901
Chicago Bulls,Sacramento Kings,0.5207977166904604
Los Angeles Lakers,Washington Wizards,0.501223659090839
Portland Trail Blazers,Indiana Pacers,0.5282739916640822
Charlotte Hornets,Los Angeles Clippers,0.5152587501171327
Orlando Magic,Milwaukee Bucks,0.5019682144840482
Atlanta Hawks,Oklahoma City Thunder,0.5229984697320084
Boston Celtics,Toronto Raptors,0.5099184057152237
Philadelphia 76ers,Houston Rockets,0.5112344238122675
Miami Heat,Memphis Grizzlies,0.5052090974978976
Dallas Mavericks,Phoenix Suns,0.5336589940709618
Golden State Warriors,Indiana Pacers,0.5330938592550349
Cleveland Cavaliers,Los Angeles Lakers,0.5149001354557851
Miami Heat,Detroit Pistons,0.5331633262729585
Denver Nuggets,Dallas Mavericks,0.5011036690775506
Orlando Magic,Los Angeles Clippers,0.5045036707761339
Brooklyn Nets,Charlotte Hornets,0.5159548316363841
New York Knicks,Atlanta Hawks,0.5264048582614398
Los Angeles Lakers,Toronto Raptors,0.5142291613614397
Chicago Bulls,Washington Wizards,0.5427992290942046
Memphis Grizzlies,Oklahoma City Thunder,0.5194185370802529
Milwaukee Bucks,Sacramento Kings,0.5309540565788008
Minnesota Timberwolves,Indiana Pacers,0.5215951459518006
New Orleans Pelicans,Detroit Pistons,0.5098853026529571
Utah Jazz,Golden State Warriors,0.5166582414845338
Phoenix Suns,Boston Celtics,0.5060837168989868
Miami Heat,Los Angeles Clippers,0.5295991210865792
San Antonio Spurs,Houston Rockets,0.5099616126514072
Portland Trail Blazers,Denver Nuggets,0.5157810308942193
Charlotte Hornets,New York Knicks,0.5070979302384038
Indiana Pacers,Washington Wizards,0.5059571851877758
Orlando Magic,Toronto Raptors,0.521725600390707
Brooklyn Nets,Atlanta Hawks,0.5192428036130226
Cleveland Cavaliers,Sacramento Kings,0.5368193855625321
Philadelphia 76ers,Los Angeles Lakers,0.52712492793974
Memphis Grizzlies,Detroit Pistons,0.51138292376353
New Orleans Pelicans,Phoenix Suns,0.5099305302882448
Utah Jazz,Minnesota Timberwolves,0.5264496848009658
Dallas Mavericks,Milwaukee Bucks,0.5275229982643554
Miami Heat,San Antonio Spurs,0.5387712079526685
Brooklyn Nets,Indiana Pacers,0.5022735197127493
Washington Wizards,Los Angeles Clippers,0.5070757374425598
Cleveland Cavaliers,Oklahoma City Thunder,0.5347699440756646
Chicago Bulls,Dallas Mavericks,0.5233160211303152
Golden State Warriors,Boston Celtics,0.5167792441415591
Denver Nuggets,Utah Jazz,0.5078592613184127
Portland Trail Blazers,Minnesota Timberwolves,0.5202542849865965
New Orleans Pelicans,Phoenix Suns,0.5099305302882448
Detroit Pistons,Los Angeles Lakers,0.5018238949985774
New York Knicks,Sacramento Kings,0.5375415867518953
Orlando Magic,Toronto Raptors,0.521725600390707
Philadelphia 76ers,Charlotte Hornets,0.5346028014231766
Chicago Bulls,Atlanta Hawks,0.5076612086369656
Houston Rockets,Milwaukee Bucks,0.5041920993680591
Miami Heat,Indiana Pacers,0.5132257260387838
Washington Wizards,Brooklyn Nets,0.5050154572877265
Memphis Grizzlies,Atlanta Hawks,0.5103039249674051
Dallas Mavericks,Oklahoma City Thunder,0.5416116792997103
Cleveland Cavaliers,San Antonio Spurs,0.504051156062916
Portland Trail Blazers,Minnesota Timberwolves,0.5202542849865965
Los Angeles Clippers,Boston Celtics,0.5103428030499741
Philadelphia 76ers,Sacramento Kings,0.5489756530057527
Milwaukee Bucks,Golden State Warriors,0.5118311384418052
