Vteam,Hteam
Orlando Magic,Portland Trail Blazers
Dallas Mavericks,Los Angeles Clippers
Minnesota Timberwolves,Detroit Pistons
Chicago Bulls,Washington Wizards
Milwaukee Bucks,Atlanta Hawks
New Orleans Pelicans,Boston Celtics
Indiana Pacers,New York Knicks
San Antonio Spurs,Memphis Grizzlies
Phoenix Suns,Denver Nuggets
Houston Rockets,Sacramento Kings
Oklahoma City Thunder,Philadelphia 76ers
Boston Celtics,Brooklyn Nets
Milwaukee Bucks,Miami Heat
Charlotte Hornets,Toronto Raptors
Dallas Mavericks,Los Angeles Lakers
Cleveland Cavaliers,Portland Trail Blazers
New Orleans Pelicans,Detroit Pistons
Atlanta Hawks,Indiana Pacers
New York Knicks,Washington Wizards
Golden State Warriors,San Antonio Spurs
Oklahoma City Thunder,Chicago Bulls
Phoenix Suns,Minnesota Timberwolves
Orlando Magic,Utah Jazz
Denver Nuggets,Los Angeles Clippers
Houston Rockets,Sacramento Kings
Milwaukee Bucks,Miami Heat
Boston Celtics,Charlotte Hornets
Memphis Grizzlies,Indiana Pacers
Atlanta Hawks,Toronto Raptors
Cleveland Cavaliers,Minnesota Timberwolves
Philadelphia 76ers,Utah Jazz
Dallas Mavericks,Portland Trail Blazers
New York Knicks,Detroit Pistons
Houston Rockets,Los Angeles Clippers
Golden State Warriors,Chicago Bulls
Oklahoma City Thunder,Brooklyn Nets
Sacramento Kings,San Antonio Spurs
Orlando Magic,Denver Nuggets
Dallas Mavericks,Portland Trail Blazers
Philadelphia 76ers,Los Angeles Lakers
Boston Celtics,Charlotte Hornets
Indiana Pacers,Milwaukee Bucks
New Orleans Pelicans,Cleveland Cavaliers
Toronto Raptors,New York Knicks
Golden State Warriors,Washington Wizards
Miami Heat,Atlanta Hawks
Utah Jazz,Minnesota Timberwolves
Phoenix Suns,Memphis Grizzlies
Houston Rockets,Los Angeles Lakers
Toronto Raptors,Milwaukee Bucks
Brooklyn Nets,San Antonio Spurs
Portland Trail Blazers,Denver Nuggets
Philadelphia 76ers,Los Angeles Clippers
Atlanta Hawks,Dallas Mavericks
Washington Wizards,New York Knicks
Charlotte Hornets,Houston Rockets
Cleveland Cavaliers,Memphis Grizzlies
Miami Heat,New Orleans Pelicans
Indiana Pacers,Oklahoma City Thunder
Los Angeles Clippers,Utah Jazz
Minnesota Timberwolves,Denver Nuggets
Sacramento Kings,Los Angeles Lakers
Chicago Bulls,Detroit Pistons
Golden State Warriors,Boston Celtics
Toronto Raptors,Minnesota Timberwolves
Brooklyn Nets,Phoenix Suns
Philadelphia 76ers,Portland Trail Blazers
New Orleans Pelicans,Orlando Magic
New York Knicks,Atlanta Hawks
Golden State Warriors,Cleveland Cavaliers
Miami Heat,Dallas Mavericks
Los Angeles Clippers,San Antonio Spurs
Indiana Pacers,Denver Nuggets
Brooklyn Nets,Utah Jazz
Memphis Grizzlies,Los Angeles Lakers
Oklahoma City Thunder,Sacramento Kings
Boston Celtics,Toronto Raptors
Orlando Magic,Washington Wizards
Charlotte Hornets,Atlanta Hawks
Milwaukee Bucks,Cleveland Cavaliers
Houston Rockets,Minnesota Timberwolves
Indiana Pacers,Phoenix Suns
Philadelphia 76ers,Sacramento Kings
New Orleans Pelicans,Miami Heat
New York Knicks,Toronto Raptors
Los Angeles Clippers,Dallas Mavericks
Oklahoma City Thunder,Denver Nuggets
Memphis Grizzlies,Phoenix Suns
Brooklyn Nets,Golden State Warriors
Los Angeles Lakers,Portland Trail Blazers
Milwaukee Bucks,Detroit Pistons
Boston Celtics,Orlando Magic
Atlanta Hawks,Chicago Bulls
Minnesota Timberwolves,Houston Rockets
Charlotte Hornets,Utah Jazz
San Antonio Spurs,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
Chicago Bulls,Indiana Pacers
Boston Celtics,Miami Heat
Cleveland Cavaliers,New York Knicks
Denver Nuggets,New Orleans Pelicans
Washington Wizards,Dallas Mavericks
Charlotte Hornets,Phoenix Suns
Los Angeles Clippers,Los Angeles Lakers
Indiana Pacers,Orlando Magic
Brooklyn Nets,Philadelphia 76ers
Washington Wizards,Houston Rockets
Denver Nuggets,Milwaukee Bucks
Minnesota Timberwolves,New Orleans Pelicans
Atlanta Hawks,Oklahoma City Thunder
Memphis Grizzlies,Golden State Warriors
Utah Jazz,Portland Trail Blazers
Toronto Raptors,Sacramento Kings
San Antonio Spurs,Los Angeles Lakers
New York Knicks,Boston Celtics
Detroit Pistons,Brooklyn Nets
Chicago Bulls,Charlotte Hornets
Cleveland Cavaliers,Houston Rockets
Dallas Mavericks,Phoenix Suns
San Antonio Spurs,Los Angeles Clippers
Milwaukee Bucks,Indiana Pacers
Memphis Grizzlies,Minnesota Timberwolves
Orlando Magic,Miami Heat
Cleveland Cavaliers,Oklahoma City Thunder
Toronto Raptors,Golden State Warriors
Denver Nuggets,Philadelphia 76ers
New York Knicks,Brooklyn Nets
Houston Rockets,Detroit Pistons
Chicago Bulls,Orlando Magic
Los Angeles Clippers,Atlanta Hawks
Sacramento Kings,Minnesota Timberwolves
Washington Wizards,New Orleans Pelicans
Phoenix Suns,San Antonio Spurs
Los Angeles Lakers,Boston Celtics
Dallas Mavericks,Utah Jazz
Toronto Raptors,Portland Trail Blazers
Miami Heat,Charlotte Hornets
Indiana Pacers,Memphis Grizzlies
Los Angeles Clippers,Cleveland Cavaliers
New Orleans Pelicans,Milwaukee Bucks
Orlando Magic,Philadelphia 76ers
Los Angeles Lakers,Brooklyn Nets
Sacramento Kings,Minnesota Timberwolves
Golden State Warriors,Oklahoma City Thunder
Washington Wizards,San Antonio Spurs
Detroit Pistons,Dallas Mavericks
Toronto Raptors,Phoenix Suns
Atlanta Hawks,Portland Trail Blazers
Miami Heat,Cleveland Cavaliers
Los Angeles Lakers,New York Knicks
Los Angeles Clippers,Chicago Bulls
Charlotte Hornets,Milwaukee Bucks
New Orleans Pelicans,Denver Nuggets
Washington Wizards,Detroit Pistons
Portland Trail Blazers,Memphis Grizzlies
Orlando Magic,Philadelphia 76ers
Brooklyn Nets,Boston Celtics
Oklahoma City Thunder,Houston Rockets
Golden State Warriors,Minnesota Timberwolves
Sacramento Kings,San Antonio Spurs
Toronto Raptors,Utah Jazz
Atlanta Hawks,Phoenix Suns
Los Angeles Lakers,Indiana Pacers
Memphis Grizzlies,Cleveland Cavaliers
Miami Heat,New York Knicks
Charlotte Hornets,Chicago Bulls
New Orleans Pelicans,Dallas Mavericks
Golden State Warriors,Denver Nuggets
Los Angeles Clippers,Milwaukee Bucks
Charlotte Hornets,Detroit Pistons
Sacramento Kings,Indiana Pacers
Portland Trail Blazers,Washington Wizards
Phoenix Suns,Boston Celtics
Toronto Raptors,Houston Rockets
Orlando Magic,Minnesota Timberwolves
Philadelphia 76ers,San Antonio Spurs
Atlanta Hawks,Utah Jazz
Washington Wizards,Brooklyn Nets
Phoenix Suns,Detroit Pistons
Los Angeles Clippers,New York Knicks
Portland Trail Blazers,Chicago Bulls
Miami Heat,Milwaukee Bucks
Los Angeles Lakers,New Orleans Pelicans
Houston Rockets,Oklahoma City Thunder
Dallas Mavericks,Golden State Warriors
Atlanta Hawks,Denver Nuggets
Orlando Magic,Charlotte Hornets
Cleveland Cavaliers,Indiana Pacers
Toronto Raptors,Memphis Grizzlies
Philadelphia 76ers,New York Knicks
Denver Nuggets,Minnesota Timberwolves
Sacramento Kings,New Orleans Pelicans
Boston Celtics,Detroit Pistons
Cleveland Cavaliers,Washington Wizards
Los Angeles Clippers,Brooklyn Nets
San Antonio Spurs,Chicago Bulls
Sacramento Kings,Houston Rockets
Dallas Mavericks,Utah Jazz
Oklahoma City Thunder,Golden State Warriors
Milwaukee Bucks,Portland Trail Blazers
New York Knicks,Orlando Magic
Phoenix Suns,Brooklyn Nets
Atlanta Hawks,New Orleans Pelicans
Chicago Bulls,Memphis Grizzlies
Minnesota Timberwolves,Denver Nuggets
Oklahoma City Thunder,Los Angeles Lakers
Detroit Pistons,Cleveland Cavaliers
Charlotte Hornets,Washington Wizards
Philadelphia 76ers,Boston Celtics
Indiana Pacers,Miami Heat
San Antonio Spurs,Toronto Raptors
Sacramento Kings,Houston Rockets
Minnesota Timberwolves,Utah Jazz
Dallas Mavericks,Los Angeles Clippers
Golden State Warriors,Portland Trail Blazers
Denver Nuggets,Orlando Magic
Phoenix Suns,Atlanta Hawks
Chicago Bulls,Brooklyn Nets
Milwaukee Bucks,Los Angeles Lakers
San Antonio Spurs,Detroit Pistons
Phoenix Suns,Indiana Pacers
New York Knicks,Philadelphia 76ers
Charlotte Hornets,Boston Celtics
Utah Jazz,Toronto Raptors
Minnesota Timberwolves,Memphis Grizzlies
Houston Rockets,Miami Heat
Cleveland Cavaliers,New Orleans Pelicans
Oklahoma City Thunder,Portland Trail Blazers
Dallas Mavericks,Sacramento Kings
Milwaukee Bucks,Los Angeles Clippers
Philadelphia 76ers,Brooklyn Nets
Denver Nuggets,Charlotte Hornets
Miami Heat,Orlando Magic
Indiana Pacers,Washington Wizards
San Antonio Spurs,Atlanta Hawks
Utah Jazz,New York Knicks
Chicago Bulls,Cleveland Cavaliers
Los Angeles Lakers,Golden State Warriors
Dallas Mavericks,Sacramento Kings
Memphis Grizzlies,Boston Celtics
Detroit Pistons,Toronto Raptors
Atlanta Hawks,Charlotte Hornets
San Antonio Spurs,Cleveland Cavaliers
Utah Jazz,Indiana Pacers
Houston Rockets,Philadelphia 76ers
Denver Nuggets,Miami Heat
Brooklyn Nets,New York Knicks
Orlando Magic,Chicago Bulls
New Orleans Pelicans,Oklahoma City Thunder
Minnesota Timberwolves,Dallas Mavericks
Washington Wizards,Golden State Warriors
Los Angeles Lakers,Portland Trail Blazers
Boston Celtics,Milwaukee Bucks
Orlando Magic,Toronto Raptors
Sacramento Kings,Phoenix Suns
Golden State Warriors,Los Angeles Clippers
Washington Wizards,Portland Trail Blazers
San Antonio Spurs,Charlotte Hornets
Chicago Bulls,Indiana Pacers
Cleveland Cavaliers,Philadelphia 76ers
New York Knicks,Atlanta Hawks
Detroit Pistons,Boston Celtics
Miami Heat,Brooklyn Nets
Utah Jazz,Memphis Grizzlies
Houston Rockets,Oklahoma City Thunder
Dallas Mavericks,Denver Nuggets
New Orleans Pelicans,Los Angeles Lakers
Milwaukee Bucks,Chicago Bulls
Washington Wizards,Minnesota Timberwolves
Los Angeles Clippers,Phoenix Suns
Denver Nuggets,Cleveland Cavaliers
Boston Celtics,Indiana Pacers
Detroit Pistons,Orlando Magic
Memphis Grizzlies,Philadelphia 76ers
New Orleans Pelicans,Toronto Raptors
San Antonio Spurs,Dallas Mavericks
Oklahoma City Thunder,Utah Jazz
Golden State Warriors,Los Angeles Lakers
Portland Trail Blazers,Sacramento Kings
New York Knicks,Washington Wizards
Cleveland Cavaliers,Atlanta Hawks
Miami Heat,Milwaukee Bucks
Charlotte Hornets,Minnesota Timberwolves
Oklahoma City Thunder,Phoenix Suns
Brooklyn Nets,Chicago Bulls
Houston Rockets,Golden State Warriors
Sacramento Kings,Los Angeles Clippers
Toronto Raptors,Detroit Pistons
Miami Heat,Charlotte Hornets
Indiana Pacers,Orlando Magic
New Orleans Pelicans,New York Knicks
Denver Nuggets,Memphis Grizzlies
Boston Celtics,Philadelphia 76ers
San Antonio Spurs,Utah Jazz
Phoenix Suns,Milwaukee Bucks
Brooklyn Nets,Atlanta Hawks
Washington Wizards,Chicago Bulls
Los Angeles Lakers,Dallas Mavericks
Toronto Raptors,Cleveland Cavaliers
Sacramento Kings,Oklahoma City Thunder
Minnesota Timberwolves,Golden State Warriors
Houston Rockets,Portland Trail Blazers
Los Angeles Clippers,Denver Nuggets
Detroit Pistons,Charlotte Hornets
Miami Heat,Philadelphia 76ers
Boston Celtics,New York Knicks
Orlando Magic,New Orleans Pelicans
Washington Wizards,Atlanta Hawks
Milwaukee Bucks,Brooklyn Nets
Chicago Bulls,Toronto Raptors
Denver Nuggets,Houston Rockets
Los Angeles Lakers,Memphis Grizzlies
Sacramento Kings,Oklahoma City Thunder
Indiana Pacers,Dallas Mavericks
San Antonio Spurs,Utah Jazz
Portland Trail Blazers,Golden State Warriors
Minnesota Timberwolves,Los Angeles Clippers
Phoenix Suns,Charlotte Hornets
Chicago Bulls,Detroit Pistons
Cleveland Cavaliers,Boston Celtics
Philadelphia 76ers,Miami Heat
Brooklyn Nets,New York Knicks
Memphis Grizzlies,Houston Rockets
Orlando Magic,Milwaukee Bucks
Los Angeles Lakers,Oklahoma City Thunder
New Orleans Pelicans,Portland Trail Blazers
Toronto Raptors,Washington Wizards
Philadelphia 76ers,Dallas Mavericks
Indiana Pacers,San Antonio Spurs
Los Angeles Clippers,Golden State Warriors
Orlando Magic,Charlotte Hornets
Portland Trail Blazers,Atlanta Hawks
Brooklyn Nets,Boston Celtics
Phoenix Suns,Chicago Bulls
New York Knicks,Miami Heat
Utah Jazz,Oklahoma City Thunder
Memphis Grizzlies,Denver Nuggets
New Orleans Pelicans,Golden State Warriors
Los Angeles Clippers,Sacramento Kings
Minnesota Timberwolves,Los Angeles Lakers
Toronto Raptors,Washington Wizards
Detroit Pistons,Cleveland Cavaliers
Atlanta Hawks,Miami Heat
Houston Rockets,San Antonio Spurs
Philadelphia 76ers,Milwaukee Bucks
Minnesota Timberwolves,Sacramento Kings
Phoenix Suns,Dallas Mavericks
Indiana Pacers,Chicago Bulls
Golden State Warriors,Los Angeles Lakers
Charlotte Hornets,Brooklyn Nets
Portland Trail Blazers,Orlando Magic
San Antonio Spurs,Houston Rockets
Utah Jazz,Oklahoma City Thunder
New York Knicks,Boston Celtics
Memphis Grizzlies,Los Angeles Clippers
Boston Celtics,Cleveland Cavaliers
Philadelphia 76ers,Indiana Pacers
Milwaukee Bucks,Washington Wizards
Atlanta Hawks,Miami Heat
Toronto Raptors,Denver Nuggets
New Orleans Pelicans,Sacramento Kings
Portland Trail Blazers,Detroit Pistons
Milwaukee Bucks,Orlando Magic
Philadelphia 76ers,Minnesota Timberwolves
Charlotte Hornets,New York Knicks
Brooklyn Nets,Houston Rockets
Golden State Warriors,Oklahoma City Thunder
Utah Jazz,Dallas Mavericks
Memphis Grizzlies,Los Angeles Lakers
Atlanta Hawks,Washington Wizards
Portland Trail Blazers,Boston Celtics
Cleveland Cavaliers,Miami Heat
Dallas Mavericks,New Orleans Pelicans
Chicago Bulls,Denver Nuggets
Oklahoma City Thunder,Phoenix Suns
Toronto Raptors,Los Angeles Clippers
Charlotte Hornets,Detroit Pistons
Houston Rockets,Indiana Pacers
Utah Jazz,Orlando Magic
Brooklyn Nets,Milwaukee Bucks
Golden State Warriors,Memphis Grizzlies
New York Knicks,Sacramento Kings
Portland Trail Blazers,Philadelphia 76ers
Atlanta Hawks,Washington Wizards
Cleveland Cavaliers,Miami Heat
Brooklyn Nets,Minnesota Timberwolves
Denver Nuggets,San Antonio Spurs
Toronto Raptors,Los Angeles Lakers
New York Knicks,Los Angeles Clippers
Utah Jazz,Charlotte Hornets
Indiana Pacers,Detroit Pistons
Miami Heat,Orlando Magic
Boston Celtics,Atlanta Hawks
Chicago Bulls,Houston Rockets
Dallas Mavericks,Memphis Grizzlies
Milwaukee Bucks,Golden State Warriors
Oklahoma City Thunder,New Orleans Pelicans
Sacramento Kings,Phoenix Suns
Brooklyn Nets,Denver Nuggets
Cleveland Cavaliers,Charlotte Hornets
Washington Wizards,Philadelphia 76ers
Portland Trail Blazers,New Orleans Pelicans
Oklahoma City Thunder,San Antonio Spurs
New York Knicks,Los Angeles Lakers
Indiana Pacers,Detroit Pistons
Minnesota Timberwolves,Atlanta Hawks
Memphis Grizzlies,Dallas Mavericks
Utah Jazz,Miami Heat
Boston Celtics,Houston Rockets
Phoenix Suns,Golden State Warriors
Milwaukee Bucks,Sacramento Kings
Cleveland Cavaliers,Charlotte Hornets
Detroit Pistons,Washington Wizards
Denver Nuggets,Toronto Raptors
Los Angeles Lakers,New Orleans Pelicans
Brooklyn Nets,Oklahoma City Thunder
Orlando Magic,San Antonio Spurs
Milwaukee Bucks,Phoenix Suns
New York Knicks,Portland Trail Blazers
Philadelphia 76ers,Cleveland Cavaliers
Memphis Grizzlies,Miami Heat
Sacramento Kings,Chicago Bulls
Los Angeles Lakers,Houston Rockets
Boston Celtics,Minnesota Timberwolves
Dallas Mavericks,San Antonio Spurs
Golden State Warriors,Los Angeles Clippers
Denver Nuggets,Detroit Pistons
Sacramento Kings,Brooklyn Nets
Oklahoma City Thunder,Toronto Raptors
Indiana Pacers,Milwaukee Bucks
Orlando Magic,Phoenix Suns
Philadelphia 76ers,Charlotte Hornets
Golden State Warriors,Atlanta Hawks
Washington Wizards,Cleveland Cavaliers
Minnesota Timberwolves,Chicago Bulls
New Orleans Pelicans,Houston Rockets
Memphis Grizzlies,San Antonio Spurs
Boston Celtics,Portland Trail Blazers
Dallas Mavericks,Los Angeles Lakers
Denver Nuggets,New York Knicks
Orlando Magic,Los Angeles Clippers
Philadelphia 76ers,Indiana Pacers
Minnesota Timberwolves,Toronto Raptors
Miami Heat,Chicago Bulls
Golden State Warriors,Memphis Grizzlies
Sacramento Kings,Washington Wizards
Boston Celtics,Utah Jazz
Denver Nuggets,Brooklyn Nets
Phoenix Suns,Oklahoma City Thunder
Atlanta Hawks,San Antonio Spurs
Miami Heat,Detroit Pistons
New Orleans Pelicans,Houston Rockets
Toronto Raptors,Milwaukee Bucks
Los Angeles Clippers,Portland Trail Blazers
Orlando Magic,Los Angeles Lakers
Indiana Pacers,Charlotte Hornets
Chicago Bulls,Philadelphia 76ers
Minnesota Timberwolves,New York Knicks
Golden State Warriors,Houston Rockets
Dallas Mavericks,Memphis Grizzlies
Sacramento Kings,Utah Jazz
Washington Wizards,Orlando Magic
Detroit Pistons,Atlanta Hawks
Cleveland Cavaliers,Brooklyn Nets
San Antonio Spurs,New Orleans Pelicans
Boston Celtics,Sacramento Kings
Oklahoma City Thunder,Los Angeles Clippers
Denver Nuggets,Washington Wizards
Golden State Warriors,Dallas Mavericks
New York Knicks,Miami Heat
Indiana Pacers,Toronto Raptors
Philadelphia 76ers,Chicago Bulls
Houston Rockets,Memphis Grizzlies
San Antonio Spurs,Milwaukee Bucks
Atlanta Hawks,Minnesota Timberwolves
Portland Trail Blazers,Utah Jazz
Phoenix Suns,Los Angeles Lakers
New York Knicks,Orlando Magic
Cleveland Cavaliers,Brooklyn Nets
Charlotte Hornets,New Orleans Pelicans
Oklahoma City Thunder,Los Angeles Clippers
Indiana Pacers,Boston Celtics
San Antonio Spurs,Washington Wizards
Detroit Pistons,Toronto Raptors
Houston Rockets,Memphis Grizzlies
Charlotte Hornets,Dallas Mavericks
Milwaukee Bucks,Utah Jazz
Philadelphia 76ers,Golden State Warriors
Chicago Bulls,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
Oklahoma City Thunder,Los Angeles Lakers
Indiana Pacers,Atlanta Hawks
Brooklyn Nets,Miami Heat
Milwaukee Bucks,Denver Nuggets
Philadelphia 76ers,Phoenix Suns
Utah Jazz,Sacramento Kings
New Orleans Pelicans,Los Angeles Clippers
Dallas Mavericks,Charlotte Hornets
Chicago Bulls,Los Angeles Lakers
Memphis Grizzlies,Atlanta Hawks
San Antonio Spurs,Boston Celtics
Houston Rockets,Cleveland Cavaliers
Brooklyn Nets,Orlando Magic
Washington Wizards,Toronto Raptors
Oklahoma City Thunder,Portland Trail Blazers
Minnesota Timberwolves,Golden State Warriors
Milwaukee Bucks,Detroit Pistons
Dallas Mavericks,Indiana Pacers
Houston Rockets,New York Knicks
Phoenix Suns,Utah Jazz
Philadelphia 76ers,Denver Nuggets
New Orleans Pelicans,Portland Trail Blazers
Minnesota Timberwolves,Sacramento Kings
Chicago Bulls,Los Angeles Clippers
Boston Celtics,Washington Wizards
Cleveland Cavaliers,Atlanta Hawks
Miami Heat,Toronto Raptors
Orlando Magic,Memphis Grizzlies
Charlotte Hornets,Oklahoma City Thunder
New Orleans Pelicans,Golden State Warriors
Milwaukee Bucks,Indiana Pacers
Houston Rockets,Brooklyn Nets
Miami Heat,New York Knicks
Dallas Mavericks,Philadelphia 76ers
Los Angeles Lakers,Chicago Bulls
Los Angeles Clippers,Memphis Grizzlies
Detroit Pistons,Oklahoma City Thunder
Utah Jazz,San Antonio Spurs
Minnesota Timberwolves,Phoenix Suns
Sacramento Kings,Portland Trail Blazers
Boston Celtics,Milwaukee Bucks
New Orleans Pelicans,Denver Nuggets
Chicago Bulls,Charlotte Hornets
Oklahoma City Thunder,Indiana Pacers
Toronto Raptors,Philadelphia 76ers
Orlando Magic,Washington Wizards
Utah Jazz,Boston Celtics
Atlanta Hawks,Brooklyn Nets
New York Knicks,Cleveland Cavaliers
Detroit Pistons,Houston Rockets
Los Angeles Clippers,Memphis Grizzlies
Los Angeles Lakers,Minnesota Timberwolves
San Antonio Spurs,Golden State Warriors
Sacramento Kings,Portland Trail Blazers
Denver Nuggets,Phoenix Suns
Dallas Mavericks,Miami Heat
Los Angeles Clippers,New Orleans Pelicans
Toronto Raptors,Charlotte Hornets
Utah Jazz,Brooklyn Nets
Memphis Grizzlies,Chicago Bulls
Portland Trail Blazers,Minnesota Timberwolves
Dallas Mavericks,Atlanta Hawks
San Antonio Spurs,Sacramento Kings
Detroit Pistons,Orlando Magic
Washington Wizards,New York Knicks
Los Angeles Lakers,Houston Rockets
Phoenix Suns,Oklahoma City Thunder
Philadelphia 76ers,Milwaukee Bucks
Indiana Pacers,Cleveland Cavaliers
Golden State Warriors,Denver Nuggets
Toronto Raptors,Charlotte Hornets
Milwaukee Bucks,Washington Wizards
Cleveland Cavaliers,Orlando Magic
Miami Heat,Detroit Pistons
Minnesota Timberwolves,Brooklyn Nets
Denver Nuggets,Houston Rockets
Portland Trail Blazers,Memphis Grizzlies
Sacramento Kings,New Orleans Pelicans
Boston Celtics,Philadelphia 76ers
Atlanta Hawks,Chicago Bulls
Los Angeles Lakers,Utah Jazz
Oklahoma City Thunder,Golden State Warriors
San Antonio Spurs,Phoenix Suns
Brooklyn Nets,Detroit Pistons
New York Knicks,Indiana Pacers
Washington Wizards,Atlanta Hawks
Toronto Raptors,Boston Celtics
Chicago Bulls,Milwaukee Bucks
Memphis Grizzlies,New Orleans Pelicans
Sacramento Kings,Dallas Mavericks
Los Angeles Lakers,Los Angeles Clippers
Cleveland Cavaliers,Orlando Magic
Miami Heat,Philadelphia 76ers
Portland Trail Blazers,San Antonio Spurs
Oklahoma City Thunder,Utah Jazz
Denver Nuggets,Phoenix Suns
Houston Rockets,Charlotte Hornets
Miami Heat,Washington Wizards
Detroit Pistons,Indiana Pacers
Orlando Magic,Brooklyn Nets
Toronto Raptors,Boston Celtics
Philadelphia 76ers,Atlanta Hawks
Memphis Grizzlies,Milwaukee Bucks
New York Knicks,New Orleans Pelicans
Chicago Bulls,Dallas Mavericks
Golden State Warriors,Sacramento Kings
Phoenix Suns,Los Angeles Lakers
Denver Nuggets,Utah Jazz
Portland Trail Blazers,Los Angeles Clippers
Minnesota Timberwolves,San Antonio Spurs
Atlanta Hawks,Boston Celtics
Philadelphia 76ers,Brooklyn Nets
Detroit Pistons,Chicago Bulls
Charlotte Hornets,Cleveland Cavaliers
Orlando Magic,Miami Heat
Indiana Pacers,New York Knicks
Milwaukee Bucks,Toronto Raptors
Houston Rockets,Washington Wizards
San Antonio Spurs,Dallas Mavericks
Sacramento Kings,Denver Nuggets
Utah Jazz,Los Angeles Lakers
New Orleans Pelicans,Minnesota Timberwolves
Memphis Grizzlies,Oklahoma City Thunder
Los Angeles Clippers,Phoenix Suns
Golden State Warriors,Portland Trail Blazers