整租·银谷美泉家园2室2厅南/北 124.00㎡ 南北 2室2厅2卫,朝阳朝青银谷美泉家园
整租·泛海世家西府5室2厅东/南/北 466.00㎡ 东南北 5室2厅4卫,朝阳朝阳公园泛海世家西府
整租·双榆树北路2室1厅南/北 58.00㎡ 南北 2室1厅1卫,海淀双榆树双榆树北路
整租·八角北里3室1厅南/北 68.00㎡ 南北 3室1厅1卫,石景山八角八角北里
整租·东升园2室1厅东/西 68.00㎡ 东西 2室1厅1卫,海淀五道口东升园
整租·合景领峰10号院5房间北 140.00㎡ 北 5房间2卫,房山长阳合景领峰10号院
整租·富力城D区1室1厅北 71.76㎡ 北 1室1厅1卫,朝阳双井富力城D区
整租·汇欣公寓3室2厅东/南 223.76㎡ 东南 3室2厅3卫,朝阳亚运村汇欣公寓
整租·尚东庭3室2厅南/北 200.00㎡ 南北 3室2厅3卫,通州潞苑尚东庭
整租·银河湾2室1厅南/北 121.43㎡ 南北 2室1厅1卫,朝阳酒仙桥银河湾
整租·保利中央公园4室2厅南/北 168.00㎡ 南北 4室2厅3卫,朝阳望京保利中央公园
整租·十一教工楼3室1厅南/北 70.00㎡ 南北 3室1厅1卫,海淀玉泉路十一教工楼
整租·汇欣公寓2室2厅南 173.50㎡ 南 2室2厅2卫,朝阳亚运村汇欣公寓
整租·首开铂郡12号院3室2厅南/西/北 210.08㎡ 南西北 3室2厅2卫,朝阳三里屯首开铂郡12号院
整租·十一教工楼3室1厅南/北 68.00㎡ 南北 3室1厅1卫,海淀玉泉路十一教工楼
整租·乐成豪丽1室1厅东 68.00㎡ 东 1室1厅1卫,朝阳大望路乐成豪丽
整租·首城国际C区4室2厅南/北 188.00㎡ 南北 4室2厅3卫,朝阳双井首城国际C区
整租·万柳园小区1室1厅南/北 45.00㎡ 南北 1室1厅1卫,丰台玉泉营万柳园小区
整租·十一教工楼1室1厅南 45.00㎡ 南 1室1厅1卫,海淀玉泉路十一教工楼
整租·铂宫国际中心3室1厅南/北 322.33㎡ 南北 3室1厅2卫,朝阳东大桥铂宫国际中心
整租·富力城D区3室2厅南/北 171.00㎡ 南北 3室2厅2卫,朝阳双井富力城D区
整租·长银大厦1室0厅西 110.48㎡ 西 1室0厅0卫,海淀五棵松长银大厦
整租·北京城建海梓府2室2厅南/北 173.00㎡ 南北 2室2厅2卫,大兴亦庄开发区其它北京城建海梓府
整租·金茂府东区2房间西南 85.00㎡ 西南 2房间1卫,朝阳大望路金茂府东区
整租·清澄名苑北区3室2厅南 140.00㎡ 南 3室2厅1卫,大兴黄村中清澄名苑北区
整租·双榆树东里2室1厅南 59.50㎡ 南 2室1厅1卫,海淀双榆树双榆树东里
整租·东兴二区2室1厅南/北 73.65㎡ 南北 2室1厅1卫,顺义顺义城东兴二区
整租·中海城圣朝菲2室1厅西 100.09㎡ 西 2室1厅1卫,朝阳成寿寺中海城圣朝菲
整租·碧水云天3室2厅西南 137.34㎡ 西南 3室2厅2卫,海淀万柳碧水云天
整租·后现代城A区1室0厅北 51.00㎡ 北 1室0厅1卫,朝阳大望路后现代城A区
整租·团结湖北口2室1厅南/北 64.00㎡ 南北 2室1厅1卫,朝阳团结湖团结湖北口
整租·富锦嘉园一区2室1厅南/北 88.00㎡ 南北 2室1厅1卫,丰台科技园区富锦嘉园一区
整租·交大嘉园3室1厅西南 108.00㎡ 西南 3室1厅1卫,海淀西直门交大嘉园
整租·大成时代公馆1房间西 75.00㎡ 西 1房间1卫,丰台岳各庄大成时代公馆
整租·国美第一城2号院4室2厅复式东 191.35㎡ 东 4室2厅2卫,朝阳朝青国美第一城2号院
整租·瑞悦府4室2厅南/北 317.00㎡ 南北 4室2厅3卫,朝阳中央别墅区瑞悦府
整租·毛纺厂南小区2室1厅南 56.30㎡ 南 2室1厅1卫,海淀清河毛纺厂南小区
整租·后现代城D区1室0厅北 57.00㎡ 北 1室0厅1卫,朝阳大望路后现代城D区
整租·南平里2室1厅南/北 58.19㎡ 南北 2室1厅1卫,朝阳首都机场南平里
整租·糖人街2室1厅西南 78.44㎡ 西南 2室1厅1卫,丰台太平桥糖人街
整租·林肯公园B区5房间东北 149.00㎡ 东北 5房间2卫,亦庄开发区亦庄林肯公园B区
整租·亲爱的villa6室3厅南/北 330.00㎡ 南北 6室3厅5卫,亦庄开发区亦庄亲爱的villa
整租·建邦华府2室1厅南/北 104.57㎡ 南北 2室1厅2卫,丰台刘家窑建邦华府
整租·北方明珠1室0厅东北 114.00㎡ 东北 1室0厅1卫,昌平立水桥北方明珠
整租·东四八条2室1厅西 30.70㎡ 西 2室1厅1卫,东城东四东四八条
整租·丽水嘉园2室2厅西 89.00㎡ 西 2室2厅1卫,朝阳朝阳公园丽水嘉园
整租·清和园2室1厅南/北 80.17㎡ 南北 2室1厅1卫,大兴旧宫清和园
整租·中关村东大院2室1厅南/北 60.30㎡ 南北 2室1厅1卫,海淀中关村中关村东大院
整租·阳光都市1室1厅东 86.47㎡ 东 1室1厅1卫,东城工体阳光都市
整租·长阳半岛4号院3室1厅南/北 96.00㎡ 南北 3室1厅1卫,房山长阳长阳半岛4号院
整租·太利花园5室2厅复式东/南/西/北 333.00㎡ 东南西北 5室2厅3卫,朝阳中央别墅区太利花园
整租·宾阳北里2室1厅南/北 64.27㎡ 南北 2室1厅1卫,密云鼓楼街道宾阳北里
整租·首开国风美唐综合楼1房间西 60.39㎡ 西 1房间1卫,昌平回龙观首开国风美唐综合楼
整租·新裕家园1室0厅南 57.00㎡ 南 1室0厅1卫,东城崇文门新裕家园
整租·甘家口小区3室1厅南/北 69.00㎡ 南北 3室1厅1卫,海淀甘家口甘家口小区
整租·绿地启航社2房间东 53.37㎡ 东 2房间1卫,房山长阳绿地启航社
整租·江山赋3房间北 105.00㎡ 北 3房间1卫,顺义后沙峪江山赋
整租·青云大厦2房间南 149.53㎡ 南 2房间1卫,海淀双榆树青云大厦
整租·五矿名品4室2厅南/北 140.80㎡ 南北 4室2厅2卫,房山长阳五矿名品
整租·褐石4室2厅南/北 200.00㎡ 南北 4室2厅2卫,海淀五道口褐石
整租·兴都苑3室2厅南/北 124.00㎡ 南北 3室2厅2卫,大兴西红门兴都苑
整租·CLASS3室2厅南/北 180.00㎡ 南北 3室2厅2卫,朝阳望京CLASS
整租·荣丰20081室1厅北 28.00㎡ 北 1室1厅1卫,西城广安门荣丰2008
整租·皂君东里1室1厅东 36.00㎡ 东 1室1厅1卫,海淀皂君庙皂君东里
整租·旗舰凯旋二三期3室1厅南/北 130.00㎡ 南北 3室1厅2卫,通州九棵树(家乐福)旗舰凯旋二三期
整租·保利嘉园三号院2室1厅西南 88.00㎡ 西南 2室1厅1卫,朝阳常营保利嘉园三号院
整租·广安门外南街2室1厅南/北 58.00㎡ 南北 2室1厅1卫,西城天宁寺广安门外南街
整租·远见名苑1室1厅北 55.00㎡ 北 1室1厅1卫,西城广安门远见名苑
整租·鼎恒中心2室2厅东/北 131.62㎡ 东北 2室2厅1卫,丰台七里庄鼎恒中心
整租·清缘东里2室1厅南 87.46㎡ 南 2室1厅1卫,海淀清河清缘东里
整租·裕中西里2室1厅西北/北 71.20㎡ 西北北 2室1厅1卫,西城马甸裕中西里
整租·荟康苑2室1厅南/北 66.44㎡ 南北 2室1厅1卫,朝阳常营荟康苑
整租·炫特嘉园三期1室1厅南/北 68.87㎡ 南北 1室1厅1卫,朝阳石佛营炫特嘉园三期
整租·合生世界花园2房间西 55.83㎡ 西 2房间1卫,通州马驹桥合生世界花园
整租·垡头西里一区2室1厅南 55.33㎡ 南 2室1厅1卫,朝阳垡头垡头西里一区
整租·瑞都公园世家南区1室1厅南 85.97㎡ 南 1室1厅1卫,通州临河里瑞都公园世家南区
整租·天溪园4室2厅南/北 220.00㎡ 南北 4室2厅3卫,朝阳奥林匹克公园天溪园
整租·云趣园二区2室2厅南/北 95.00㎡ 南北 2室2厅1卫,昌平回龙观云趣园二区
整租·友谊社区1室1厅南 40.00㎡ 南 1室1厅1卫,海淀苏州桥友谊社区
整租·木樨地2室0厅南/西北 69.30㎡ 南西北 2室0厅1卫,西城木樨地木樨地
整租·中海苏黎世家3室1厅南/北 101.00㎡ 南北 3室1厅2卫,丰台科技园区中海苏黎世家
整租·珺悦国际4房间西南 132.00㎡ 西南 4房间2卫,大兴天宫院珺悦国际
整租·潘家园小区2室1厅南/北 72.99㎡ 南北 2室1厅1卫,朝阳潘家园潘家园小区
整租·北纬40度一期2室1厅南 87.60㎡ 南 2室1厅2卫,朝阳望京北纬40度一期
整租·褐石3室2厅南/北 138.00㎡ 南北 3室2厅2卫,海淀五道口褐石
整租·鼓楼外大街1、3号楼2室1厅东南/北 65.00㎡ 东南北 2室1厅1卫,朝阳马甸鼓楼外大街1、3号楼
整租·城子大街96号院2室1厅东/西 70.00㎡ 东西 2室1厅1卫,门头沟城子城子大街96号院
整租·大成时代中心1室1厅西/北 77.00㎡ 西北 1室1厅1卫,丰台岳各庄大成时代中心
整租·龙禧苑一区3室1厅南/北 104.74㎡ 南北 3室1厅1卫,昌平回龙观龙禧苑一区
整租·丰汇园小区2室1厅西 59.40㎡ 西 2室1厅1卫,西城金融街丰汇园小区
整租·塔院小区3室1厅南/西/北 80.00㎡ 南西北 3室1厅1卫,海淀牡丹园塔院小区
整租·汇新家园2室1厅西南 86.00㎡ 西南 2室1厅1卫,海淀万柳汇新家园
整租·新华联家园北区2室1厅南/北 102.00㎡ 南北 2室1厅2卫,通州果园新华联家园北区
整租·崇文门西大街2室1厅南/北 50.05㎡ 南北 2室1厅1卫,东城崇文门崇文门西大街
整租·光熙家园一期2室1厅西北 95.66㎡ 西北 2室1厅1卫,朝阳西坝河光熙家园一期
整租·北京邮电大学2室2厅南/北 82.00㎡ 南北 2室2厅1卫,海淀小西天北京邮电大学
整租·贵园南里丁区2室1厅南/北 59.99㎡ 南北 2室1厅1卫,亦庄开发区亦庄贵园南里丁区
整租·天畅园2室1厅东 88.84㎡ 东 2室1厅1卫,朝阳奥林匹克公园天畅园
整租·金唐国际2室1厅西南 89.00㎡ 西南 2室1厅1卫,丰台太平桥金唐国际
整租·林肯公园C区3房间西北 96.00㎡ 西北 3房间2卫,亦庄开发区亦庄林肯公园C区
整租·甘露园南里2室1厅东南/南 69.53㎡ 东南南 2室1厅1卫,朝阳甘露园甘露园南里
整租·科育小区2室1厅南/北 67.00㎡ 南北 2室1厅1卫,海淀中关村科育小区
整租·劲松七区2室1厅南 55.00㎡ 南 2室1厅1卫,朝阳潘家园劲松七区
整租·景馨家园2室1厅东/南 97.63㎡ 东南 2室1厅1卫,通州玉桥景馨家园
整租·沿海赛洛城五期2室1厅南/北 102.00㎡ 南北 2室1厅2卫,朝阳百子湾沿海赛洛城五期
整租·流星花园三区2室1厅南/西 100.00㎡ 南西 2室1厅1卫,昌平回龙观流星花园三区
整租·中国昊华6房间西北 157.00㎡ 西北 6房间1卫,朝阳亚运村小营中国昊华
整租·东领鉴筑3房间南 90.00㎡ 南 3房间1卫,朝阳定福庄东领鉴筑
整租·南郎家园2室1厅南/北 54.62㎡ 南北 2室1厅1卫,朝阳CBD南郎家园
整租·青秀雅苑1室1厅南 68.00㎡ 南 1室1厅1卫,丰台玉泉营青秀雅苑
整租·东王庄2室1厅东/东南/西 65.20㎡ 东东南西 2室1厅1卫,海淀五道口东王庄
整租·远洋万和公馆3室3厅南/北 256.00㎡ 南北 3室3厅4卫,朝阳望京远洋万和公馆
整租·羊坊店路3号院1室0厅东 39.00㎡ 东 1室0厅1卫,海淀军博羊坊店路3号院
整租·温泉花园B区2室1厅南/北 82.00㎡ 南北 2室1厅1卫,昌平北七家温泉花园B区
整租·金域华府二期2室1厅南 83.00㎡ 南 2室1厅1卫,昌平回龙观金域华府二期
整租·水上华城3室2厅西南 147.16㎡ 西南 3室2厅2卫,东城广渠门水上华城
整租·地质附中3室1厅南/北 71.00㎡ 南北 3室1厅1卫,海淀五道口地质附中
整租·长阳半岛怡和路3号院4室2厅南/北 142.00㎡ 南北 4室2厅2卫,房山长阳长阳半岛怡和路3号院
整租·金地格林小镇3室2厅南/北 160.00㎡ 南北 3室2厅2卫,亦庄开发区亦庄金地格林小镇
整租·金沟河5号院1室1厅南 42.50㎡ 南 1室1厅1卫,海淀五棵松金沟河5号院
整租·玉桥南里11号2室1厅南/北 68.30㎡ 南北 2室1厅1卫,通州玉桥玉桥南里11号
整租·西湖新村3室2厅南/北 148.00㎡ 南北 3室2厅2卫,昌平北七家西湖新村
整租·龙泽苑东区1室1厅北 51.00㎡ 北 1室1厅1卫,昌平回龙观龙泽苑东区
整租·龙湖花盛香醍4室2厅南/北 219.00㎡ 南北 4室2厅3卫,通州九棵树(家乐福)龙湖花盛香醍
整租·翠微路16号院1室1厅南 46.00㎡ 南 1室1厅1卫,海淀公主坟翠微路16号院
整租·孛旺花园1室0厅南 55.00㎡ 南 1室0厅1卫,朝阳垡头孛旺花园
整租·三源里南小街2室1厅东南 60.00㎡ 东南 2室1厅1卫,朝阳亮马桥三源里南小街
整租·机械研究院东区1室1厅南 39.89㎡ 南 1室1厅1卫,海淀甘家口机械研究院东区
整租·圆明园花园别墅4室2厅南/北 140.43㎡ 南北 4室2厅2卫,海淀马连洼圆明园花园别墅
整租·融泽嘉园中路1号院2室1厅南/北 98.00㎡ 南北 2室1厅1卫,昌平回龙观融泽嘉园中路1号院
整租·慈云寺2室1厅南/北 56.79㎡ 南北 2室1厅1卫,朝阳红庙慈云寺
整租·静淑东里2室1厅南/北 100.00㎡ 南北 2室1厅1卫,海淀学院路静淑东里
整租·清水园二期4室2厅东/西 163.00㎡ 东西 4室2厅2卫,昌平立水桥清水园二期
整租·巴克摩界2室0厅北 65.00㎡ 北 2室0厅2卫,通州果园巴克摩界
整租·南湖渠西里2室1厅东/北/东北 50.00㎡ 东北东北 2室1厅1卫,朝阳望京南湖渠西里
整租·银领国际3室1厅南/西 163.00㎡ 南西 3室1厅2卫,朝阳望京银领国际
整租·贵园东里2室1厅南/北 90.00㎡ 南北 2室1厅1卫,亦庄开发区亦庄贵园东里
整租·果园西里2室2厅南 91.81㎡ 南 2室2厅1卫,密云果园街道果园西里
整租·新天第2室1厅南 135.00㎡ 南 2室1厅2卫,朝阳国展新天第
整租·明天第一城7号院2房间东南 72.62㎡ 东南 2房间1卫,朝阳立水桥明天第一城7号院
整租·保利首开四季怡园3室1厅南 89.00㎡ 南 3室1厅1卫,门头沟冯村保利首开四季怡园
整租·玲珑天地2房间南 87.00㎡ 南 2房间1卫,海淀定慧寺玲珑天地
整租·万恒家园3室2厅南/北 116.00㎡ 南北 3室2厅2卫,丰台青塔万恒家园
整租·翠成馨园A区2室1厅南 97.64㎡ 南 2室1厅1卫,朝阳垡头翠成馨园A区
整租·晓月新苑2室1厅西北 92.00㎡ 西北 2室1厅1卫,丰台卢沟桥晓月新苑
整租·光大花园1室1厅南 78.79㎡ 南 1室1厅1卫,海淀万柳光大花园
整租·观音寺小区2室1厅南/北 68.79㎡ 南北 2室1厅1卫,大兴观音寺观音寺小区
整租·荟康苑1室1厅南/北 50.00㎡ 南北 1室1厅1卫,朝阳常营荟康苑
整租·阜北小区3室1厅南/北 71.00㎡ 南北 3室1厅1卫,海淀甘家口阜北小区
整租·逸成东苑2室1厅南/北 76.00㎡ 南北 2室1厅1卫,海淀学院路逸成东苑
整租·风景线2室1厅南 130.97㎡ 南 2室1厅2卫,朝阳酒仙桥风景线
整租·阜成门南大街4室1厅东/西 101.80㎡ 东西 4室1厅2卫,西城月坛阜成门南大街
整租·会展誉景2房间西 71.85㎡ 西 2房间1卫,顺义中央别墅区会展誉景
整租·夏都盈座3室2厅东南 135.00㎡ 东南 3室2厅1卫,朝阳望京夏都盈座
整租·新兴年代3室2厅南/北 136.68㎡ 南北 3室2厅2卫,海淀五棵松新兴年代
整租·空港雅苑1号院2室1厅南 80.00㎡ 南 2室1厅1卫,大兴大兴机场空港空港雅苑1号院
整租·大西洋新城G区2室1厅西 93.00㎡ 西 2室1厅1卫,朝阳望京大西洋新城G区
整租·上海建筑2室1厅南/北 87.00㎡ 南北 2室1厅1卫,丰台大红门上海建筑
整租·北京新天地一期1室1厅东北 65.01㎡ 东北 1室1厅1卫,朝阳常营北京新天地一期
整租·保利大都汇1室1厅西北 51.83㎡ 西北 1室1厅1卫,通州万达保利大都汇
整租·朝阳园3室2厅西南 144.12㎡ 西南 3室2厅2卫,朝阳朝青朝阳园
整租·鸿坤七星长安2房间南 50.00㎡ 南 2房间1卫,门头沟滨河西区鸿坤七星长安
整租·兴海家园星苑2室1厅南/北 84.18㎡ 南北 2室1厅1卫,大兴西红门兴海家园星苑
整租·南海家园二里2室1厅南/北 90.00㎡ 南北 2室1厅1卫,大兴亦庄开发区其它南海家园二里
整租·南平里2室1厅东/南/北 58.00㎡ 东南北 2室1厅1卫,朝阳首都机场南平里
整租·官苑8号3室2厅南/北 151.30㎡ 南北 3室2厅2卫,西城官园官苑8号
整租·宝盛里2室1厅南/北 78.00㎡ 南北 2室1厅1卫,海淀清河宝盛里
整租·嘉特美公馆2房间北 36.51㎡ 北 2房间1卫,丰台北京南站嘉特美公馆
整租·橙色年代1室1厅西 71.00㎡ 西 1室1厅1卫,海淀六里桥橙色年代
整租·水郡长安5室2厅南/北 306.00㎡ 南北 5室2厅4卫,朝阳双桥水郡长安
整租·后芳嘉园胡同1室1厅南/北 51.25㎡ 南北 1室1厅1卫,东城朝阳门内后芳嘉园胡同
整租·盛德紫阙1室0厅西 68.62㎡ 西 1室0厅1卫,东城和平里盛德紫阙
整租·延静里中街2室1厅南/北 57.48㎡ 南北 2室1厅1卫,朝阳红庙延静里中街
整租·老山西里2室1厅南/北 50.00㎡ 南北 2室1厅1卫,石景山老山老山西里
整租·龙湖双珑原著4室2厅复式南/北 317.56㎡ 南北 4室2厅4卫,朝阳中央别墅区龙湖双珑原著
整租·金科廊桥水岸2室1厅南/北 92.00㎡ 南北 2室1厅1卫,昌平南邵金科廊桥水岸
整租·核桃园北里2室1厅西/北 58.00㎡ 西北 2室1厅1卫,朝阳东大桥核桃园北里
整租·华威北里2室2厅西南 102.00㎡ 西南 2室2厅1卫,朝阳潘家园华威北里
整租·智慧大厦1室1厅南 42.00㎡ 南 1室1厅1卫,海淀小西天智慧大厦
整租·富力城D区2室2厅南 108.00㎡ 南 2室2厅2卫,朝阳双井富力城D区
整租·国美第一城2号院3室1厅南/北 139.00㎡ 南北 3室1厅2卫,朝阳朝青国美第一城2号院
整租·马连洼北路1号院1室1厅南 44.40㎡ 南 1室1厅1卫,海淀上地马连洼北路1号院
整租·牛街西里2室1厅西南 76.00㎡ 西南 2室1厅1卫,西城牛街牛街西里
整租·砖角楼南里2室1厅南 55.00㎡ 南 2室1厅1卫,朝阳和平里砖角楼南里
整租·北京城建琨廷漫缇3室1厅南/北 114.83㎡ 南北 3室1厅2卫,房山窦店北京城建琨廷漫缇
整租·润杰经典创新园2室1厅南/北 103.00㎡ 南北 2室1厅1卫,昌平鼓楼大街润杰经典创新园
整租·马甸南村2室1厅南 60.00㎡ 南 2室1厅1卫,西城马甸马甸南村
整租·芍药居北里2室1厅南 88.00㎡ 南 2室1厅1卫,朝阳芍药居芍药居北里
整租·长阳国际城二区2室1厅南 81.00㎡ 南 2室1厅1卫,房山长阳长阳国际城二区
整租·世茂宫园3室1厅南/西 220.90㎡ 南西 3室1厅2卫,朝阳东大桥世茂宫园
整租·五道口嘉园3室2厅南/西 125.00㎡ 南西 3室2厅2卫,海淀五道口五道口嘉园
整租·怡馨家园1室1厅南 57.00㎡ 南 1室1厅1卫,顺义顺义城怡馨家园
整租·西马庄园3室1厅南/北 91.00㎡ 南北 3室1厅1卫,通州通州北苑西马庄园
整租·管庄东里2室1厅南/北 61.00㎡ 南北 2室1厅1卫,朝阳管庄管庄东里
整租·西山公馆1室1厅西 69.40㎡ 西 1室1厅1卫,海淀西北旺西山公馆
整租·空港华苑1号院2室1厅南 89.81㎡ 南 2室1厅1卫,大兴大兴机场空港空港华苑1号院
整租·望京花园西区2室1厅南/西/北 81.00㎡ 南西北 2室1厅1卫,朝阳望京望京花园西区
整租·金地名京2室1厅东南 87.09㎡ 东南 2室1厅1卫,朝阳四惠金地名京
整租·建设部大院1室1厅西 39.79㎡ 西 1室1厅1卫,海淀甘家口建设部大院
整租·金隅自由筑2房间西 52.34㎡ 西 2房间1卫,通州临河里金隅自由筑
整租·紫金新干线3室2厅南/北 133.00㎡ 南北 3室2厅2卫,昌平霍营紫金新干线
整租·苇子坑1号院2室1厅西 55.21㎡ 西 2室1厅1卫,丰台成寿寺苇子坑1号院
整租·南湖中园二区2室1厅南/北 66.66㎡ 南北 2室1厅1卫,朝阳望京南湖中园二区
整租·南竺园2室1厅西/北 72.00㎡ 西北 2室1厅1卫,顺义首都机场南竺园
整租·国美第一城2号院2室1厅南/北 97.31㎡ 南北 2室1厅2卫,朝阳朝青国美第一城2号院
整租·芍药居2室1厅南/北 75.70㎡ 南北 2室1厅1卫,朝阳芍药居芍药居
整租·南平里2室1厅南/北 58.75㎡ 南北 2室1厅1卫,朝阳首都机场南平里
整租·天通苑六区2室1厅南/北 93.06㎡ 南北 2室1厅1卫,昌平天通苑天通苑六区
整租·金域华府一期3室1厅南/北 90.00㎡ 南北 3室1厅1卫,昌平回龙观金域华府一期
整租·流星花园三区3室1厅南/北 110.00㎡ 南北 3室1厅1卫,昌平回龙观流星花园三区
整租·水郡长安2室1厅复式北 112.00㎡ 北 2室1厅2卫,朝阳双桥水郡长安
整租·金地名京3室2厅南/北 84.28㎡ 南北 3室2厅2卫,朝阳四惠金地名京
整租·青龙胡同1室1厅南/北 45.16㎡ 南北 1室1厅1卫,东城东直门青龙胡同
整租·翡翠城五期3室2厅南/北 149.50㎡ 南北 3室2厅2卫,大兴高米店翡翠城五期
整租·FCC中央城2房间东 40.00㎡ 东 2房间2卫,房山长阳FCC中央城
整租·半岛国际公寓1室1厅北 47.37㎡ 北 1室1厅1卫,朝阳太阳宫半岛国际公寓
整租·东亚首航国际2房间南/北 58.27㎡ 南北 2房间1卫,顺义顺义其它东亚首航国际
整租·志新村2室1厅东南 62.90㎡ 东南 2室1厅1卫,海淀二里庄志新村
整租·厂洼西街10号院2室1厅南 94.80㎡ 南 2室1厅1卫,海淀厂洼厂洼西街10号院
整租·阳光丽景1室1厅北 68.00㎡ 北 1室1厅1卫,西城马甸阳光丽景
整租·嘉美风尚中心3室2厅东南 147.00㎡ 东南 3室2厅2卫,朝阳望京嘉美风尚中心
整租·李村南里3室1厅南 73.00㎡ 南 3室1厅1卫,东城永定门李村南里
整租·清澄名苑北区2室1厅西 94.00㎡ 西 2室1厅1卫,大兴黄村中清澄名苑北区
整租·东亚奥北中心北区3房间东 90.00㎡ 东 3房间1卫,昌平天通苑东亚奥北中心北区
整租·誉天下4室2厅南/北 272.00㎡ 南北 4室2厅3卫,顺义中央别墅区誉天下
整租·红松园北里甲1号院3室1厅南/北 77.13㎡ 南北 3室1厅1卫,朝阳东坝红松园北里甲1号院
整租·老山西里2室1厅南/北 50.00㎡ 南北 2室1厅1卫,石景山老山老山西里
整租·赵公口小区2室1厅南/北 68.00㎡ 南北 2室1厅1卫,丰台木樨园赵公口小区
整租·亚奥金茂悦4室2厅南/北 181.78㎡ 南北 4室2厅3卫,朝阳北苑亚奥金茂悦
整租·新光大中心1室1厅南 44.00㎡ 南 1室1厅1卫,通州北关新光大中心
整租·i立方3房间西北 58.35㎡ 西北 3房间1卫,大兴大兴其它i立方
整租·紫薇天悦1室1厅东北 62.53㎡ 东北 1室1厅1卫,朝阳亚运村小营紫薇天悦
整租·金汉绿港四区3室2厅南 104.00㎡ 南 3室2厅1卫,顺义顺义城金汉绿港四区
整租·富力城D区1室1厅东/北 92.80㎡ 东北 1室1厅1卫,朝阳双井富力城D区
整租·潘家园东里2室1厅南 59.00㎡ 南 2室1厅1卫,朝阳潘家园潘家园东里
整租·和悦居10号院2室1厅南/北 81.00㎡ 南北 2室1厅1卫,顺义顺义其它和悦居10号院
整租·中海城北区3室2厅南/北 127.00㎡ 南北 3室2厅2卫,朝阳成寿寺中海城北区
整租·芳城园一区3室1厅东/西北 77.00㎡ 东西北 3室1厅1卫,丰台方庄芳城园一区
整租·中堂3室2厅南/北 138.00㎡ 南北 3室2厅2卫,丰台岳各庄中堂
整租·特区8083室1厅南/北 150.00㎡ 南北 3室1厅2卫,朝阳石佛营特区808
整租·丽都东镇3室2厅南/北 158.00㎡ 南北 3室2厅2卫,朝阳酒仙桥丽都东镇
整租·安华西里社区1室1厅南 40.00㎡ 南 1室1厅1卫,朝阳安贞安华西里社区
整租·青塔芳园2室1厅复式南/北 60.00㎡ 南北 2室1厅1卫,丰台青塔青塔芳园
整租·高庄2室1厅南/北 56.00㎡ 南北 2室1厅1卫,丰台赵公口高庄
整租·远洋山水2室1厅东北 94.38㎡ 东北 2室1厅1卫,石景山鲁谷远洋山水
整租·天伦锦城1室1厅东 60.00㎡ 东 1室1厅1卫,丰台花乡天伦锦城
整租·京投银泰万科西华府3室2厅南/北 138.00㎡ 南北 3室2厅2卫,丰台科技园区京投银泰万科西华府
整租·裕民东里2室1厅南 58.00㎡ 南 2室1厅1卫,朝阳马甸裕民东里
整租·金海国际南区1室1厅西 66.17㎡ 西 1室1厅1卫,朝阳百子湾金海国际南区
